IDNUMBER,FIRSTNAME,LASTNAME,EMAIL,USERNAME,PHONE,ADDRESS
1000001,james,bond,jasssmes12342@gmail.com,James1234,9123458234,Upper Mahaplag Leyte
1000002,Ana,bond,james1@gmail.com,ana1235,9123458235,Upper Mahaplag Leyte
1000003,Jian,bond,james2@gmail.com,Jain1236,9123458236,Upper Mahaplag Leyte
1000004,Albert,bond,james3@gmail.com,James1237,9123458237,Upper Mahaplag Leyte
1000005,Cheryl,bond,james4@gmail.com,albert1238,9123458238,Upper Mahaplag Leyte
1000006,Bernal,bond,james5@gmail.com,bernal123,9123458239,Upper Mahaplag Leyte
1000007,Doring,bond,james16@gmail.com,doring123,9123458240,Upper Mahaplag Leyte
1000008,flor,bond,james12342@gmail.com,flor123,9123458241,Upper Mahaplag Leyte
1000009,yole,bond,james7@gmail.com,yole123,9123458242,Upper Mahaplag Leyte
1000010,malim,bond,james8@gmail.com,malin123,9123458243,Upper Mahaplag Leyte
1000011,jomar,bond,james9@gmail.com,joma123,9123458244,Upper Mahaplag Leyte
1000012,margie,bond,james1122@gmail.com,margie123,9123458245,Upper Mahaplag Leyte
1000013,marilyn,bond,james1222123@gmail.com,marilyn123,9123458246,Upper Mahaplag Leyte
